raw_mark,scaled_score,exam,year,section,part,subject
0,1,NSAA,2023,"Section 1","Part B","Physics"
1,1,NSAA,2023,"Section 1","Part B","Physics"
2,1,NSAA,2023,"Section 1","Part B","Physics"
3,1,NSAA,2023,"Section 1","Part B","Physics"
4,1,NSAA,2023,"Section 1","Part B","Physics"
5,1.1,NSAA,2023,"Section 1","Part B","Physics"
6,1.8,NSAA,2023,"Section 1","Part B","Physics"
7,2.5,NSAA,2023,"Section 1","Part B","Physics"
8,3.1,NSAA,2023,"Section 1","Part B","Physics"
9,3.7,NSAA,2023,"Section 1","Part B","Physics"
10,4.3,NSAA,2023,"Section 1","Part B","Physics"
11,4.8,NSAA,2023,"Section 1","Part B","Physics"
12,5.4,NSAA,2023,"Section 1","Part B","Physics"
13,6,NSAA,2023,"Section 1","Part B","Physics"
14,6.7,NSAA,2023,"Section 1","Part B","Physics"
15,7.4,NSAA,2023,"Section 1","Part B","Physics"
16,8.1,NSAA,2023,"Section 1","Part B","Physics"
17,9,NSAA,2023,"Section 1","Part B","Physics"
18,9,NSAA,2023,"Section 1","Part B","Physics"
19,9,NSAA,2023,"Section 1","Part B","Physics"
20,9,NSAA,2023,"Section 1","Part B","Physics"
