raw_mark,scaled_score,exam,year,section,part,subject
0,1,NSAA,2020,"Section 2","Part Y","Chemistry"
1,1,NSAA,2020,"Section 2","Part Y","Chemistry"
2,1,NSAA,2020,"Section 2","Part Y","Chemistry"
3,1.4,NSAA,2020,"Section 2","Part Y","Chemistry"
4,2.3,NSAA,2020,"Section 2","Part Y","Chemistry"
5,3,NSAA,2020,"Section 2","Part Y","Chemistry"
6,3.7,NSAA,2020,"Section 2","Part Y","Chemistry"
7,4.3,NSAA,2020,"Section 2","Part Y","Chemistry"
8,4.9,NSAA,2020,"Section 2","Part Y","Chemistry"
9,5.5,NSAA,2020,"Section 2","Part Y","Chemistry"
10,6,NSAA,2020,"Section 2","Part Y","Chemistry"
11,6.6,NSAA,2020,"Section 2","Part Y","Chemistry"
12,7.1,NSAA,2020,"Section 2","Part Y","Chemistry"
13,7.7,NSAA,2020,"Section 2","Part Y","Chemistry"
14,8.3,NSAA,2020,"Section 2","Part Y","Chemistry"
15,8.9,NSAA,2020,"Section 2","Part Y","Chemistry"
16,9,NSAA,2020,"Section 2","Part Y","Chemistry"
17,9,NSAA,2020,"Section 2","Part Y","Chemistry"
18,9,NSAA,2020,"Section 2","Part Y","Chemistry"
19,9,NSAA,2020,"Section 2","Part Y","Chemistry"
20,9,NSAA,2020,"Section 2","Part Y","Chemistry"
