raw_mark,scaled_score,exam,year,section,part,subject
0,1,ENGAA,2020,"Section 2","Section 2","Maths & Physics (advanced)"
1,1,ENGAA,2020,"Section 2","Section 2","Maths & Physics (advanced)"
2,1,ENGAA,2020,"Section 2","Section 2","Maths & Physics (advanced)"
3,1,ENGAA,2020,"Section 2","Section 2","Maths & Physics (advanced)"
4,1.1,ENGAA,2020,"Section 2","Section 2","Maths & Physics (advanced)"
5,2.1,ENGAA,2020,"Section 2","Section 2","Maths & Physics (advanced)"
6,2.9,ENGAA,2020,"Section 2","Section 2","Maths & Physics (advanced)"
7,3.7,ENGAA,2020,"Section 2","Section 2","Maths & Physics (advanced)"
8,4.4,ENGAA,2020,"Section 2","Section 2","Maths & Physics (advanced)"
9,5,ENGAA,2020,"Section 2","Section 2","Maths & Physics (advanced)"
10,5.7,ENGAA,2020,"Section 2","Section 2","Maths & Physics (advanced)"
11,6.3,ENGAA,2020,"Section 2","Section 2","Maths & Physics (advanced)"
12,6.9,ENGAA,2020,"Section 2","Section 2","Maths & Physics (advanced)"
13,7.6,ENGAA,2020,"Section 2","Section 2","Maths & Physics (advanced)"
14,8.3,ENGAA,2020,"Section 2","Section 2","Maths & Physics (advanced)"
15,9,ENGAA,2020,"Section 2","Section 2","Maths & Physics (advanced)"
16,9,ENGAA,2020,"Section 2","Section 2","Maths & Physics (advanced)"
17,9,ENGAA,2020,"Section 2","Section 2","Maths & Physics (advanced)"
18,9,ENGAA,2020,"Section 2","Section 2","Maths & Physics (advanced)"
19,9,ENGAA,2020,"Section 2","Section 2","Maths & Physics (advanced)"
20,9,ENGAA,2020,"Section 2","Section 2","Maths & Physics (advanced)"
