raw_mark,scaled_score,exam,year,section,part,subject
0,1,NSAA,2021,"Section 1","Part B","Physics"
1,1,NSAA,2021,"Section 1","Part B","Physics"
2,1,NSAA,2021,"Section 1","Part B","Physics"
3,1,NSAA,2021,"Section 1","Part B","Physics"
4,1,NSAA,2021,"Section 1","Part B","Physics"
5,1.5,NSAA,2021,"Section 1","Part B","Physics"
6,2.2,NSAA,2021,"Section 1","Part B","Physics"
7,2.8,NSAA,2021,"Section 1","Part B","Physics"
8,3.4,NSAA,2021,"Section 1","Part B","Physics"
9,4,NSAA,2021,"Section 1","Part B","Physics"
10,4.6,NSAA,2021,"Section 1","Part B","Physics"
11,5.1,NSAA,2021,"Section 1","Part B","Physics"
12,5.7,NSAA,2021,"Section 1","Part B","Physics"
13,6.3,NSAA,2021,"Section 1","Part B","Physics"
14,6.9,NSAA,2021,"Section 1","Part B","Physics"
15,7.6,NSAA,2021,"Section 1","Part B","Physics"
16,8.3,NSAA,2021,"Section 1","Part B","Physics"
17,9,NSAA,2021,"Section 1","Part B","Physics"
18,9,NSAA,2021,"Section 1","Part B","Physics"
19,9,NSAA,2021,"Section 1","Part B","Physics"
20,9,NSAA,2021,"Section 1","Part B","Physics"
