raw_mark,scaled_score,exam,year,section,part,subject
0,1,TMUA,2022,"Papers","Paper 1","Mathematical Thinking"
1,1,TMUA,2022,"Papers","Paper 1","Mathematical Thinking"
2,1,TMUA,2022,"Papers","Paper 1","Mathematical Thinking"
3,1,TMUA,2022,"Papers","Paper 1","Mathematical Thinking"
4,1.3,TMUA,2022,"Papers","Paper 1","Mathematical Thinking"
5,2.1,TMUA,2022,"Papers","Paper 1","Mathematical Thinking"
6,2.8,TMUA,2022,"Papers","Paper 1","Mathematical Thinking"
7,3.4,TMUA,2022,"Papers","Paper 1","Mathematical Thinking"
8,4,TMUA,2022,"Papers","Paper 1","Mathematical Thinking"
9,4.6,TMUA,2022,"Papers","Paper 1","Mathematical Thinking"
10,5.2,TMUA,2022,"Papers","Paper 1","Mathematical Thinking"
11,5.8,TMUA,2022,"Papers","Paper 1","Mathematical Thinking"
12,6.4,TMUA,2022,"Papers","Paper 1","Mathematical Thinking"
13,6.7,TMUA,2022,"Papers","Paper 1","Mathematical Thinking"
14,6.9,TMUA,2022,"Papers","Paper 1","Mathematical Thinking"
15,7.2,TMUA,2022,"Papers","Paper 1","Mathematical Thinking"
16,7.4,TMUA,2022,"Papers","Paper 1","Mathematical Thinking"
17,7.8,TMUA,2022,"Papers","Paper 1","Mathematical Thinking"
18,8.2,TMUA,2022,"Papers","Paper 1","Mathematical Thinking"
19,8.9,TMUA,2022,"Papers","Paper 1","Mathematical Thinking"
20,9,TMUA,2022,"Papers","Paper 1","Mathematical Thinking"
