raw_mark,scaled_score,exam,year,section,part,subject
0,1,ENGAA,2017,"Section 1","Section 1B","Maths & Physics (advanced)"
1,1,ENGAA,2017,"Section 1","Section 1B","Maths & Physics (advanced)"
2,1,ENGAA,2017,"Section 1","Section 1B","Maths & Physics (advanced)"
3,1,ENGAA,2017,"Section 1","Section 1B","Maths & Physics (advanced)"
4,1,ENGAA,2017,"Section 1","Section 1B","Maths & Physics (advanced)"
5,1.5,ENGAA,2017,"Section 1","Section 1B","Maths & Physics (advanced)"
6,2.2,ENGAA,2017,"Section 1","Section 1B","Maths & Physics (advanced)"
7,2.9,ENGAA,2017,"Section 1","Section 1B","Maths & Physics (advanced)"
8,3.5,ENGAA,2017,"Section 1","Section 1B","Maths & Physics (advanced)"
9,4,ENGAA,2017,"Section 1","Section 1B","Maths & Physics (advanced)"
10,4.5,ENGAA,2017,"Section 1","Section 1B","Maths & Physics (advanced)"
11,5,ENGAA,2017,"Section 1","Section 1B","Maths & Physics (advanced)"
12,5.5,ENGAA,2017,"Section 1","Section 1B","Maths & Physics (advanced)"
13,6,ENGAA,2017,"Section 1","Section 1B","Maths & Physics (advanced)"
14,6.5,ENGAA,2017,"Section 1","Section 1B","Maths & Physics (advanced)"
15,7,ENGAA,2017,"Section 1","Section 1B","Maths & Physics (advanced)"
16,7.5,ENGAA,2017,"Section 1","Section 1B","Maths & Physics (advanced)"
17,8,ENGAA,2017,"Section 1","Section 1B","Maths & Physics (advanced)"
18,8.6,ENGAA,2017,"Section 1","Section 1B","Maths & Physics (advanced)"
19,9,ENGAA,2017,"Section 1","Section 1B","Maths & Physics (advanced)"
20,9,ENGAA,2017,"Section 1","Section 1B","Maths & Physics (advanced)"
21,9,ENGAA,2017,"Section 1","Section 1B","Maths & Physics (advanced)"
22,9,ENGAA,2017,"Section 1","Section 1B","Maths & Physics (advanced)"
23,9,ENGAA,2017,"Section 1","Section 1B","Maths & Physics (advanced)"
24,9,ENGAA,2017,"Section 1","Section 1B","Maths & Physics (advanced)"
25,9,ENGAA,2017,"Section 1","Section 1B","Maths & Physics (advanced)"
26,9,ENGAA,2017,"Section 1","Section 1B","Maths & Physics (advanced)"
