raw_mark,scaled_score,exam,year,section,part,subject
0,1,ENGAA,2021,"Section 1","Section 1A","Maths & Physics"
1,1,ENGAA,2021,"Section 1","Section 1A","Maths & Physics"
2,1,ENGAA,2021,"Section 1","Section 1A","Maths & Physics"
3,1,ENGAA,2021,"Section 1","Section 1A","Maths & Physics"
4,1,ENGAA,2021,"Section 1","Section 1A","Maths & Physics"
5,1.6,ENGAA,2021,"Section 1","Section 1A","Maths & Physics"
6,2.1,ENGAA,2021,"Section 1","Section 1A","Maths & Physics"
7,2.6,ENGAA,2021,"Section 1","Section 1A","Maths & Physics"
8,3.1,ENGAA,2021,"Section 1","Section 1A","Maths & Physics"
9,3.6,ENGAA,2021,"Section 1","Section 1A","Maths & Physics"
10,4,ENGAA,2021,"Section 1","Section 1A","Maths & Physics"
11,4.4,ENGAA,2021,"Section 1","Section 1A","Maths & Physics"
12,4.9,ENGAA,2021,"Section 1","Section 1A","Maths & Physics"
13,5.4,ENGAA,2021,"Section 1","Section 1A","Maths & Physics"
14,5.9,ENGAA,2021,"Section 1","Section 1A","Maths & Physics"
15,6.4,ENGAA,2021,"Section 1","Section 1A","Maths & Physics"
16,7,ENGAA,2021,"Section 1","Section 1A","Maths & Physics"
17,7.7,ENGAA,2021,"Section 1","Section 1A","Maths & Physics"
18,8.7,ENGAA,2021,"Section 1","Section 1A","Maths & Physics"
19,9,ENGAA,2021,"Section 1","Section 1A","Maths & Physics"
20,9,ENGAA,2021,"Section 1","Section 1A","Maths & Physics"
