raw_mark,scaled_score,exam,year,section,part,subject
0,1,TMUA,2018,"Papers","Paper 2","Mathematical Reasoning"
1,1,TMUA,2018,"Papers","Paper 2","Mathematical Reasoning"
2,1,TMUA,2018,"Papers","Paper 2","Mathematical Reasoning"
3,1.2,TMUA,2018,"Papers","Paper 2","Mathematical Reasoning"
4,2.2,TMUA,2018,"Papers","Paper 2","Mathematical Reasoning"
5,3,TMUA,2018,"Papers","Paper 2","Mathematical Reasoning"
6,3.6,TMUA,2018,"Papers","Paper 2","Mathematical Reasoning"
7,4.3,TMUA,2018,"Papers","Paper 2","Mathematical Reasoning"
8,4.9,TMUA,2018,"Papers","Paper 2","Mathematical Reasoning"
9,5.5,TMUA,2018,"Papers","Paper 2","Mathematical Reasoning"
10,6,TMUA,2018,"Papers","Paper 2","Mathematical Reasoning"
11,6.5,TMUA,2018,"Papers","Paper 2","Mathematical Reasoning"
12,7.1,TMUA,2018,"Papers","Paper 2","Mathematical Reasoning"
13,7.7,TMUA,2018,"Papers","Paper 2","Mathematical Reasoning"
14,8.3,TMUA,2018,"Papers","Paper 2","Mathematical Reasoning"
15,9,TMUA,2018,"Papers","Paper 2","Mathematical Reasoning"
16,9,TMUA,2018,"Papers","Paper 2","Mathematical Reasoning"
17,9,TMUA,2018,"Papers","Paper 2","Mathematical Reasoning"
18,9,TMUA,2018,"Papers","Paper 2","Mathematical Reasoning"
19,9,TMUA,2018,"Papers","Paper 2","Mathematical Reasoning"
20,9,TMUA,2018,"Papers","Paper 2","Mathematical Reasoning"
